시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
경기도 성남분당구 구미동,09-01,9.0,1.0,분당 엠코 헤리츠,전세,30.43,202012.0,11.0,22000.0,0.0,7.0,2014.0,성남대로 151
경기도 성남분당구 구미동,187-2,187.0,2.0,세종그랑시아∥,전세,32.2,202012.0,24.0,14800.0,0.0,4.0,2003.0,구미로9번길 10
경기도 성남분당구 구미동,187-3,187.0,3.0,세종그랑시아｜,전세,36.2,202012.0,10.0,15800.0,0.0,4.0,2003.0,구미로9번길 8
경기도 성남분당구 구미동,156.0,156.0,0.0,포스빌,전세,35.63,202012.0,5.0,17300.0,0.0,5.0,2004.0,성남대로 51
경기도 성남분당구 구미동,156.0,156.0,0.0,포스빌,전세,35.63,202012.0,28.0,17000.0,0.0,8.0,2004.0,성남대로 51
경기도 성남분당구 구미동,156.0,156.0,0.0,포스빌,전세,32.9,202012.0,30.0,15750.0,0.0,6.0,2004.0,성남대로 51
경기도 성남분당구 금곡동,170.0,170.0,0.0,천사의도시Ⅲ오피스텔,전세,36.07,202012.0,7.0,16500.0,0.0,2.0,2004.0,정자일로6번길 13
경기도 성남분당구 금곡동,170.0,170.0,0.0,천사의도시Ⅲ오피스텔,전세,36.16,202012.0,9.0,18000.0,0.0,5.0,2004.0,정자일로6번길 13
경기도 성남분당구 금곡동,147.0,147.0,0.0,현대아리온 오피스텔,전세,35.49,202012.0,7.0,19000.0,0.0,2.0,2003.0,성남대로172번길 12
경기도 성남분당구 금곡동,147.0,147.0,0.0,현대아리온 오피스텔,전세,45.72,202012.0,25.0,24150.0,0.0,7.0,2003.0,성남대로172번길 12
경기도 성남분당구 서현동,245-1,245.0,1.0,분당오벨리스크,전세,35.78,202012.0,4.0,16000.0,0.0,16.0,2003.0,서현로 216
경기도 성남분당구 서현동,255-1,255.0,1.0,분당풍림아이원플러스오피스텔,전세,40.0,202012.0,1.0,18500.0,0.0,20.0,2004.0,서현로 170
경기도 성남분당구 수내동,05-02,5.0,2.0,삼성보보스쉐르빌,전세,33.76,202012.0,17.0,18500.0,0.0,26.0,2004.0,수내로 54
경기도 성남분당구 야탑동,342-2,342.0,2.0,르네상스분당오피스텔,전세,43.31,202012.0,21.0,18900.0,0.0,5.0,2003.0,장미로48번길 10
경기도 성남분당구 야탑동,149-2,149.0,2.0,분당 더 헤리움,전세,40.42,202012.0,30.0,12000.0,0.0,4.0,2019.0,판교로711번길 12
경기도 성남분당구 야탑동,360-1,360.0,1.0,시그마 3,전세,40.79,202012.0,7.0,20000.0,0.0,7.0,2003.0,장미로 78
경기도 성남분당구 운중동,943.0,943.0,0.0,큐브타워,전세,32.36,202012.0,31.0,21000.0,0.0,10.0,2015.0, 
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,43.43,202012.0,1.0,21500.0,0.0,4.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,41.09,202012.0,2.0,26500.0,0.0,9.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,34.07,202012.0,9.0,21000.0,0.0,3.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,34.07,202012.0,14.0,22000.0,0.0,6.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,37.58,202012.0,14.0,21000.0,0.0,9.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,37.58,202012.0,16.0,21000.0,0.0,5.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,43.43,202012.0,17.0,27500.0,0.0,9.0,2004.0,성남대로 295
경기도 성남분당구 정자동,168-1,168.0,1.0,대림아크로텔,전세,43.43,202012.0,24.0,25200.0,0.0,8.0,2004.0,성남대로 295
경기도 성남분당구 정자동,17-2,17.0,2.0,백궁 동양파라곤,전세,30.5,202012.0,15.0,23000.0,0.0,10.0,2004.0,느티로 22
경기도 성남분당구 정자동,17-2,17.0,2.0,백궁 동양파라곤,전세,30.5,202012.0,30.0,22050.0,0.0,5.0,2004.0,느티로 22
경기도 성남분당구 정자동,7.0,7.0,0.0,분당두산위브파빌리온,전세,37.72,202012.0,7.0,29000.0,0.0,14.0,2005.0,성남대로 393
경기도 성남분당구 정자동,7.0,7.0,0.0,분당두산위브파빌리온,전세,37.68,202012.0,9.0,27000.0,0.0,27.0,2005.0,성남대로 393
경기도 성남분당구 정자동,7.0,7.0,0.0,분당두산위브파빌리온,전세,37.72,202012.0,22.0,29000.0,0.0,18.0,2005.0,성남대로 393
경기도 성남분당구 정자동,7.0,7.0,0.0,분당두산위브파빌리온,전세,52.98,202012.0,28.0,50000.0,0.0,27.0,2005.0,성남대로 393
경기도 성남분당구 정자동,24.0,24.0,0.0,분당인텔리지2,전세,34.15,202012.0,14.0,20000.0,0.0,17.0,2004.0,정자일로 177
경기도 성남분당구 정자동,24.0,24.0,0.0,분당인텔리지2,전세,56.55,202012.0,16.0,33000.0,0.0,21.0,2004.0,정자일로 177
경기도 성남분당구 정자동,16-2,16.0,2.0,정자동2차푸르지오시티,전세,30.27,202012.0,21.0,24000.0,0.0,18.0,2013.0,정자일로 197
경기도 성남분당구 정자동,162-2,162.0,2.0,정자동3차 푸르지오 시티,전세,47.79,202012.0,18.0,50000.0,0.0,19.0,2015.0, 
경기도 성남분당구 정자동,162-2,162.0,2.0,정자동3차 푸르지오 시티,전세,42.79,202012.0,19.0,44000.0,0.0,15.0,2015.0, 
경기도 성남분당구 판교동,625.0,625.0,0.0,리버스토리,전세,38.03,202012.0,19.0,24000.0,0.0,6.0,2011.0,운중로 242
경기도 성남수정구 태평동,3507.0,3507.0,0.0,웅진베어스빌,전세,58.09,202012.0,15.0,21000.0,0.0,8.0,2019.0,탄리로 73
경기도 성남중원구 도촌동,562.0,562.0,0.0,으뜸 이레家,전세,42.59,202012.0,12.0,24000.0,0.0,2.0,2019.0,도촌로8번길 33
경기도 성남중원구 성남동,2759.0,2759.0,0.0,미래타운,전세,51.07,202012.0,7.0,26775.0,0.0,2.0,2019.0,광명로142번길 3
경기도 성남중원구 성남동,2759.0,2759.0,0.0,미래타운,전세,50.07,202012.0,28.0,26700.0,0.0,3.0,2019.0,광명로142번길 3
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,45.83,202012.0,3.0,29500.0,0.0,9.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,49.9,202012.0,6.0,33000.0,0.0,14.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,51.05,202012.0,7.0,32000.0,0.0,14.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,49.9,202012.0,11.0,33000.0,0.0,14.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,45.83,202012.0,18.0,28800.0,0.0,3.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,49.9,202012.0,23.0,32500.0,0.0,14.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,49.9,202012.0,24.0,33000.0,0.0,10.0,2020.0,광명로 67
경기도 성남중원구 성남동,2264.0,2264.0,0.0,성남 모란 지웰에스테이트,전세,49.9,202012.0,28.0,31000.0,0.0,2.0,2020.0,광명로 67
경기도 성남중원구 성남동,1404.0,1404.0,0.0,성남 센트럴 푸르지오 시티,전세,48.2,202012.0,21.0,23153.0,0.0,12.0,2017.0,광명로 89
경기도 성남중원구 성남동,2201.0,2201.0,0.0,수진역 코아루 천년가 오피스텔,전세,51.27,202012.0,12.0,27000.0,0.0,10.0,2019.0,광명로 103
경기도 성남중원구 성남동,2201.0,2201.0,0.0,수진역 코아루 천년가 오피스텔,전세,38.25,202012.0,23.0,19000.0,0.0,8.0,2019.0,광명로 103
경기도 성남중원구 성남동,4163.0,4163.0,0.0,오라타워,전세,39.9,202012.0,12.0,12500.0,0.0,7.0,2006.0,성남대로1147번길 3
경기도 성남중원구 성남동,3135.0,3135.0,0.0,지앤느 모란,전세,50.89,202012.0,3.0,34000.0,0.0,4.0,2020.0,산성대로 136
경기도 성남중원구 성남동,3135.0,3135.0,0.0,지앤느 모란,전세,50.89,202012.0,10.0,36000.0,0.0,10.0,2020.0,산성대로 136
경기도 성남중원구 성남동,3135.0,3135.0,0.0,지앤느 모란,전세,50.89,202012.0,19.0,35000.0,0.0,3.0,2020.0,산성대로 136
경기도 성남중원구 여수동,188.0,188.0,0.0,시티 스마트캐슬2.0,전세,30.93,202012.0,1.0,19950.0,0.0,10.0,2019.0,양현로 413
